CustomerKey|TOPSTOREFORTRX|TOPSTOREFORSALES|TOPSTORETOTALTRXPERC|TOPSTORESALESPERC
2|MNS_S45|MNS_S45|1|1
3|MNS_S24|MNS_S24|0,375|0,32392183096006294
5|MNS_S29|MNS_S29|0,83333333333333337|0,76280099799229328
6|MNS_S29|MNS_S29|0,8571428571428571|0,86364441547214998
7|MNS_S29|MNS_S29|0,7931034482758621|0,70921886379480226
8|MNS_S29|MNS_S29|0,66666666666666663|0,62073277327247123
12|MNS_S61|MNS_S41|0,44897959183673469|0,48087403557371272
13|MNS_S61|MNS_S61|0,43478260869565216|0,43193138013808419
16|MNS_S40|MNS_S40|1|1
18|MNS_S61|MNS_S61|0,5|0,61224073166748327
19|MNS_S32|MNS_S32|1|1
21|MNS_S47|MNS_S46|0,5|0,32081383059036689
23|MNS_S27|MNS_S29|0,46153846153846156|0,37114907285735144
25|MNS_S29|MNS_S29|0,75|0,81376416807564655
28|MNS_S29|MNS_S29|0,66666666666666663|0,830515946353787
33|MNS_S40|MNS_S40|0,95833333333333337|0,94789821087371895
34|MNS_S27|MNS_S27|1|1
37|MNS_S48|MNS_S48|0,90000000000000002|0,60020616174810948
38|MNS_S29|MNS_S29|1|1
40|MNS_S38|MNS_S38|0,5|0,83996265172735762
41|MNS_S3|MNS_S45|0,2857142857142857|0,31915968469112499
43|MNS_S61|MNS_S61|0,5|0,34639248781647453
44|MNS_S2|MNS_S2|0,59999999999999998|0,56803917058262965
45|MNS_S29|MNS_S29|0,66666666666666663|0,68588309087970822
46|MNS_S40|MNS_S18|0,35714285714285715|0,37757998452342839
47|MNS_S29|MNS_S29|0,83333333333333337|0,92316883950705353
49|MNS_S29|MNS_S29|1|1
50|MNS_S2|MNS_S2|0,90000000000000002|0,98277417850371596
52|MNS_S27|MNS_S27|0,52173913043478259|0,56980039935086779
53|MNS_S27|MNS_S27|0,39130434782608697|0,29689800507431519
54|MNS_S27|MNS_S27|0,36363636363636365|0,43145400959012531
56|MNS_S27|MNS_S27|0,5757575757575758|0,51111800370066884
57|MNS_S50|MNS_S50|1|1
58|MNS_S29|MNS_S29|0,46666666666666667|0,49695664172697163
62|MNS_S2|MNS_S2|0,80952380952380953|0,88878275466671497
63|MNS_S29|MNS_S29|0,20000000000000001|0,41196182626613165
64|MNS_S2|MNS_S2|0,5714285714285714|0,5361736334405145
65|MNS_S27|MNS_S65|0,34375|0,31022370589249026
66|MNS_S45|MNS_S29|0,44444444444444442|0,49736877031293891
67|MNS_S45|MNS_S5|0,66666666666666663|0,5531106440046033
71|MNS_S5|MNS_S5|0,80000000000000004|0,81701805600605482
72|MNS_S3|MNS_S3|0,66666666666666663|0,59522221692945265
73|MNS_S56|MNS_S17|0,33333333333333331|0,38709441148465534
75|MNS_S2|MNS_S2|0,83333333333333337|0,91708704765853544
76|MNS_S27|MNS_S27|1|1
78|MNS_S2|MNS_S2|0,80952380952380953|0,63497919254805069
79|MNS_S57|MNS_S29|0,33333333333333331|0,43453203584709421
82|MNS_S2|MNS_S2|0,59999999999999998|0,47535875358753593
83|MNS_S4|MNS_S4|1|1
84|MNS_S27|MNS_S27|0,75|0,65654466996963401
85|MNS_S29|MNS_S59|0,13043478260869565|0,30116926726075199
87|MNS_S2|MNS_S2|0,6428571428571429|0,50003085530917024
88|MNS_S2|MNS_S2|0,8571428571428571|0,90185927271822186
89|MNS_S29|MNS_S45|0,40000000000000002|0,37809559584780161
90|MNS_S40|MNS_S40|0,625|0,58207312599355976
91|MNS_S2|MNS_S2|0,5|0
92|MNS_S16|MNS_S16|1|1
93|MNS_S2|MNS_S2|0,90000000000000002|0,81057065282300755
94|MNS_S54|MNS_S54|0,80000000000000004|0,60491560527079358
95|MNS_S4|MNS_S29|0,25|0,35871515469782506
97|MNS_S2|MNS_S2|0,63636363636363635|0,57303025711793687
99|MNS_S52|MNS_S52|0,29999999999999999|0,4441705228313112
103|MNS_S41|MNS_S33|0,5|0,56857019526191499
104|MNS_S2|MNS_S2|0,875|0,73156268562101612
105|MNS_S16|MNS_S16|0,75|0,87761249963965526
106|MNS_S32|MNS_S32|0,25|0,3131055834486825
107|MNS_S65|MNS_S65|0,5|0,68740425797980431
111|MNS_S29|MNS_S68|0,33333333333333331|0,3991628981044934
117|MNS_S44|MNS_S44|0,84375|0,88548719015908239
121|MNS_S51|MNS_S32|0,5|0,53105768805064857
122|MNS_S63|MNS_S63|0,84615384615384615|0,66068225352792509
124|MNS_S23|MNS_S23|0,41176470588235292|0,49116722661753548
127|MNS_S3|MNS_S3|0,80000000000000004|0,90630585998433411
129|MNS_S59|MNS_S59|1|1
132|MNS_S29|MNS_S61|0,46153846153846156|0,47757001903851859
134|MNS_S61|MNS_S61|0,52380952380952384|0,61301229374338606
135|MNS_S50|MNS_S50|0,25|0,25460445064934067
136|MNS_S61|MNS_S61|0,37037037037037035|0,65822211225984728
137|MNS_S5|MNS_S5|0,5|0,47705252652722513
138|MNS_S45|MNS_S5|0,5161290322580645|0,45879948116506969
140|MNS_S63|MNS_S63|0,5714285714285714|0,47364418182881884
141|MNS_S23|MNS_S23|0,75|0,72059907712280835
142|MNS_S45|MNS_S45|1|1
143|MNS_S5|MNS_S5|0,5714285714285714|0,57542258339034535
145|MNS_S29|MNS_S29|0,53333333333333333|0,68038231361115376
146|MNS_S54|MNS_S54|0,5|0,92896388395500296
148|MNS_S31|MNS_S31|0,66666666666666663|1,093391311835364
152|MNS_S63|MNS_S63|1|1
156|MNS_S2|MNS_S2|0,80000000000000004|0,86633526103145053
157|MNS_S29|MNS_S29|0,5|0,67500902853015532
158|MNS_S27|MNS_S41|0,25|0,46447852887638591
159|MNS_S57|MNS_S57|0,66666666666666663|0,72401999410231987
163|MNS_S5|MNS_S5|0,66666666666666663|0,75102118448343025
164|MNS_S61|MNS_S61|0,75|0,93407958267997693
165|MNS_S38|MNS_S41|0,5|0,46769309288873773
166|MNS_S23|MNS_S23|0,5|0,58924196371004878
169|MNS_S2|MNS_S2|0,76190476190476186|0,75487466919658464
173|MNS_S3|MNS_S3|0,5|0,69837013199845055
174|MNS_S33|MNS_S33|1|1
175|MNS_S40|MNS_S40|1|1
176|MNS_S31|MNS_S31|1|1
177|MNS_S3|MNS_S3|0,5|0,42421826784612221
178|MNS_S48|MNS_S48|0,5|0,56505285136369576
